gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	evalue	LOC	gene_ID
PGEN_.00g177740		2	0.176782859	3.133113121	0.797684952	0.2216199	0.217919939	1.15E-154	5.63E-149	8.70E-69	LOC105343715	sal-like protein 1
PGEN_.00g022770		2	0.167246984	2.759456601	0.632108707	0.264585794	0.156873957	5.18E-111	2.54E-105	3.02E-49	LOC105339571	kinesin-like protein KIF26B
PGEN_.00g009660		2	0.152293289	1.637603642	0.660795169	0.230469738	0.163354661	1.30E-115	6.34E-110	8.77E-25	LOC105334827	polypyrimidine tract-binding protein 1
PGEN_.00g270500		2	0.147298413	2.545231189	0.813789633	0.18100306	0.124507155	3.86E-88	1.89E-82	1.13E-15	LOC105340586	protein cordon-bleu
PGEN_.00g023460		2	0.145029837	3.097316719	0.767488676	0.188966745	0.152297898	9.11E-108	4.46E-102	3.10E-55	LOC105335424	cdc42 homolog
PGEN_.00g042470		2	0.130155349	11.05954253	0.99194766	0.131211912	0.100394003	3.24E-71	1.58E-65	3.85E-24	LOC105317369	uncharacterized LOC105317369
PGEN_.00g004020		2	0.129595156	1.346529803	0.511323603	0.253450368	0.10413793	7.74E-74	3.79E-68	3.26E-33	LOC105325417	transcription factor AP-2-epsilon
PGEN_.00g240910		2	0.110176166	0.620881245	0.412682436	0.266975661	0.095488973	8.73E-68	4.27E-62	0	LOC105331810	alpha-mannosidase 2
PGEN_.00g329630		2	0.106050243	5.480013773	0.784096628	0.135251498	0.12031359	3.44E-85	1.68E-79	1.35E-17	LOC117684841	uncharacterized LOC117684841
PGEN_.00g253870		3	0.161714974	4.167196666	0.879483501	0.183874937	0.13445357	2.83E-83	1.38E-77	5.80E-08	LOC105337739	histone RNA hairpin-binding protein
PGEN_.00g199430		3	0.159115611	6.511379073	0.911047346	0.174651309	0.118028969	3.37E-73	1.65E-67	3.27E-35	LOC105317174	G2/mitotic-specific cyclin-B
PGEN_.00g070070		3	0.153491441	5.78936253	0.921090387	0.166641019	0.12236131	7.47E-76	3.65E-70	6.38E-16	LOC105345330	inner centromere protein
PGEN_.00g089980		3	0.15252344	7.590698893	0.93615495	0.162925421	0.13009122	1.35E-80	6.61E-75	3.83E-35	LOC105348733	G2/mitotic-specific cyclin-A
PGEN_.00g328330		3	0.143174792	3.559111178	0.853658537	0.167719043	0.087505955	1.47E-54	7.17E-49	6.85E-12	LOC105330008	zinc finger protein 665
PGEN_.00g230790		3	0.138457823	2.968241025	0.649210904	0.213270945	0.089483838	9.15E-56	4.48E-50	2.45E-38	LOC105348069	transcription factor Sox-2
PGEN_.00g215920		3	0.137878483	5.582406341	0.933285509	0.147734516	0.078712409	3.28E-49	1.61E-43	5.75E-09	Hmgb1	high mobility group box 1
PGEN_.00g187730		3	0.134101817	2.418198059	0.764705882	0.175363914	0.081707656	4.95E-51	2.42E-45	4.74E-24	LOC105330419	DNA replication factor Cdt1-like
PGEN_.00g259100		3	0.122793331	2.001953061	0.668579627	0.183662987	0.080922747	1.49E-50	7.27E-45	8.98E-25	LOC105340795	histone-lysine N-methyltransferase NSD2
PGEN_.00g310700		3	0.117760815	1.5925979	0.515781923	0.228315127	0.07573421	2.12E-47	1.04E-41	0.012	LOC105335390	uncharacterized protein K02A2.6
PGEN_.00g054930		4	0.450154526	9.777969752	0.94439834	0.476657473	0.549284306	0	0	2.77E-08	LOC105327445	sperm-specific protein PHI-2B/PHI-3
PGEN_.00g068740		4	0.322543625	2.358204799	0.447302905	0.721085469	0.223793148	1.22E-130	5.97E-125	0.25	LOC117692908	dentin sialophosphoprotein-like
PGEN_.00g078980		4	0.249314086	1.22489901	0.384232365	0.648862793	0.186742233	6.61E-109	3.23E-103	1.71E-20	LOC105323015	homeobox protein CDX-1
PGEN_.00g330580		4	0.240611154	1.051955999	0.554356846	0.434036587	0.212327874	6.76E-124	3.31E-118	1.27E-20	LOC105343398	lymphocyte-specific helicase
PGEN_.00g259100		4	0.236425619	3.418403834	0.858921162	0.275258812	0.269031912	2.07E-157	1.02E-151	8.98E-25	LOC105340795	histone-lysine N-methyltransferase NSD2
PGEN_.00g089980		4	0.226730663	12.3463719	0.962655602	0.235526249	0.21322653	2.00E-124	9.81E-119	3.83E-35	LOC105348733	G2/mitotic-specific cyclin-A
PGEN_.00g199430		4	0.224068269	9.440490445	0.96846473	0.231364408	0.25698924	2.94E-150	1.44E-144	3.27E-35	LOC105317174	G2/mitotic-specific cyclin-B
PGEN_.00g120520		4	0.214859052	0.953705393	0.586721992	0.366202486	0.222917017	4.00E-130	1.96E-124	4.23E-106	LOC105319123	"putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC100288842"
PGEN_.00g281640		4	0.183593247	1.221063245	0.653112033	0.28110529	0.189225825	2.34E-110	1.14E-104	2.60E-08	LOC105334934	metal-response element-binding transcription factor 2-like
PGEN_.00g070070		4	0.177786436	6.509747138	0.97593361	0.182170625	0.25017697	3.20E-146	1.57E-140	6.38E-16	LOC105345330	inner centromere protein
PGEN_.00g009660		5	0.230860771	2.99782218	0.632612967	0.364932088	0.199782744	2.01E-108	9.83E-103	8.77E-25	LOC105334827	polypyrimidine tract-binding protein 1
PGEN_.00g177740		5	0.216822748	4.690566636	0.721021611	0.300716018	0.188406581	3.03E-102	1.48E-96	8.70E-69	LOC105343715	sal-like protein 1
PGEN_.00g150440		5	0.137262413	2.328625722	0.707269155	0.1940738	0.080496072	2.82E-44	1.38E-38	3.44E-44	LOC105331446	helicase domino
PGEN_.00g022770		5	0.133953237	3.271877412	0.444990177	0.301025154	0.074655501	3.62E-41	1.77E-35	3.02E-49	LOC105339571	kinesin-like protein KIF26B
PGEN_.00g073710		5	0.132582377	3.64752842	0.851669941	0.155673426	0.075585001	1.16E-41	5.67E-36	7.36E-43	LOC105347753	afadin
PGEN_.00g144570		5	0.123714636	1.556515771	0.558939096	0.221338311	0.073764225	1.08E-40	5.28E-35	2.78E-16	LOC117685444	formin-2-like
PGEN_.00g320980		5	0.115465412	1.252212109	0.466601179	0.247460609	0.073684034	1.19E-40	5.82E-35	5.83E-61	LOC105343139	ephrin type-B receptor 1-B
PGEN_.00g344390		5	0.114679948	2.120560294	0.456777996	0.251062768	0.053666181	5.16E-30	2.53E-24	9.48E-43	LOC105334159	tight junction protein ZO-1
PGEN_.00g091990		5	0.10831356	1.130875666	0.475442043	0.227816537	0.057959587	2.71E-32	1.33E-26	3.66E-07	LOC105339336	jerky protein homolog
PGEN_.00g134560		5	0.102645856	0.832113512	0.388998035	0.263872429	0.07031928	7.33E-39	3.59E-33	2.45E-19	LOC105320603	neural-cadherin
PGEN_.00g347630		6	0.257726641	7.285104509	0.765251989	0.336786633	0.230249677	5.45E-109	2.66E-103	2.37E-22	LOC105337943	CUGBP Elav-like family member 3-B
PGEN_.00g072710		6	0.23167956	2.203940854	0.610079576	0.379753018	0.212004693	2.38E-100	1.16E-94	5.18E-28	LOC105343602	zinc finger protein 593 homolog
PGEN_.00g202240		6	0.211636602	0.862577835	0.346153846	0.611394628	0.184156664	3.26E-87	1.60E-81	2.89E-26	LOC105334613	homeobox protein orthopedia
PGEN_.00g009180		6	0.21103684	3.300114909	0.826259947	0.255412163	0.236027674	9.87E-112	4.83E-106	3.80E-169	LOC105335106	uncharacterized LOC105335106
PGEN_.00g059460		6	0.203788228	1.073615228	0.519893899	0.391980419	0.231854155	9.44E-110	4.62E-104	3.92E-17	LOC105322000	palmitoleoyl-protein carboxylesterase notum1
PGEN_.00g103430		6	0.200817681	2.431968215	0.75331565	0.266578401	0.213960785	2.83E-101	1.38E-95	3.45E-25	LOC105329851	zinc finger CCCH domain-containing protein 13
PGEN_.00g003140		6	0.19890357	1.113262517	0.599469496	0.331799317	0.226292796	4.09E-107	2.00E-101	1.30E-20	LOC105331539	serine/threonine-protein kinase Sgk1
PGEN_.00g242580		6	0.19032711	0.462937034	0.377984085	0.503532075	0.17758099	4.05E-84	1.98E-78	8.26E-08	LOC105348388	uncharacterized LOC105348388
PGEN_.00g171960		6	0.170597208	4.461673669	0.907161804	0.188055986	0.170033358	1.42E-80	6.97E-75	0	LOC105332773	zinc finger homeobox protein 4
PGEN_.00g098840		6	0.152404466	3.545174618	0.843501326	0.180680766	0.231672546	1.15E-109	5.63E-104	0.26	LOC105341257	uncharacterized LOC105341257
PGEN_.00g070350		7	0.204372328	2.564211574	0.781641168	0.261465665	0.226024473	1.38E-104	6.75E-99	4.94E-26	LOC105330764	G1/S-specific cyclin-D2
PGEN_.00g169360		7	0.192312128	0.605438478	0.510431154	0.376764088	0.2273863	3.23E-105	1.58E-99	8.76E-41	LOC105331022	zinc finger protein 521
PGEN_.00g170870		7	0.180592548	1.415161952	0.742698192	0.243157381	0.224718659	5.55E-104	2.71E-98	0	LOC105336026	uncharacterized LOC105336026
PGEN_.00g281150		7	0.180290561	0.436160777	0.458970793	0.39281489	0.212716543	1.97E-98	9.62E-93	1.74E-32	LOC105330174	caspase recruitment domain-containing protein 11
PGEN_.00g188590		7	0.151109962	0.740800038	0.577190542	0.261802561	0.197945247	1.28E-91	6.28E-86	5.37E-21	LOC105346613	cytochrome P450 27C1
PGEN_.00g278640		7	0.148052317	0.701425669	0.582753825	0.254056363	0.176171851	1.33E-81	6.53E-76	8.62E-05	LOC117685910	uncharacterized LOC117685910
PGEN_.00g074880		7	0.148029776	0.787530412	0.574408901	0.257708012	0.165048648	1.70E-76	8.30E-71	5.6	LOC105329325	UHRF1-binding protein 1-like
PGEN_.00g042470		7	0.146077261	12.74512856	0.998609179	0.146280711	0.161455172	7.52E-75	3.68E-69	3.85E-24	LOC105317369	uncharacterized LOC105317369
PGEN_.00g002750		7	0.138153962	2.794903057	0.895688456	0.154243321	0.129158157	4.36E-60	2.13E-54	4.93E-13	LOC105345167	centromere protein F
PGEN_.00g099250		7	0.13766537	0.905638843	0.486787204	0.282804004	0.140712193	2.32E-65	1.14E-59	6.15E-26	LOC105339650	golgin subfamily A member 6-like protein 22
PGEN_.00g285310		8	0.419989632	2.133950711	0.860759494	0.487929132	0.567713697	1.56E-250	7.64E-245	5.60E-57	LOC105345076	angiopoietin-related protein 2
PGEN_.00g018500		8	0.335098968	1.15296727	0.789556962	0.424413923	0.456104299	7.74E-200	3.78E-194	4.58E-22	LOC105320852	xanthine dehydrogenase/oxidase
PGEN_.00g262040		8	0.298934829	0.702322855	0.67721519	0.441417785	0.316571027	9.23E-138	4.52E-132	8.04E-22	LOC105336936	solute carrier family 28 member 3
PGEN_.00g026190		8	0.283142564	2.715886771	0.873417722	0.324177719	0.354192053	2.32E-154	1.14E-148	8.07E-122	LOC105341754	thyroid receptor-interacting protein 11
PGEN_.00g153860		8	0.275132468	1.655724972	0.879746835	0.312740504	0.420840653	5.14E-184	2.51E-178	4.10E-45	LOC105349010	secreted frizzled-related protein 5
PGEN_.00g308130		8	0.270522189	0.737625247	0.694620253	0.389453357	0.355271785	7.73E-155	3.78E-149	4.26E-17	LOC105332606	transcription factor GATA-4
PGEN_.00g329630		8	0.231328112	11.34117166	0.984177215	0.235047214	0.447654583	4.88E-196	2.39E-190	1.35E-17	LOC117684841	uncharacterized LOC117684841
PGEN_.00g018130		8	0.20306883	1.059302559	0.71835443	0.282686124	0.331034976	3.94E-144	1.93E-138	5.89E-114	LOC105327496	homeobox protein SIX6
PGEN_.00g248460		8	0.201329048	1.59695304	0.884493671	0.227620677	0.336825999	1.10E-146	5.38E-141	1.02E-12	LOC105328504	peroxisome proliferator-activated receptor gamma coactivator 1-alpha
PGEN_.00g103340		8	0.198504548	0.715448587	0.662974684	0.299414974	0.276080431	5.25E-120	2.57E-114	3.91E-16	LOC105317582	"tryptophan 2,3-dioxygenase"
PGEN_.00g122730		9	0.400859061	2.880774084	0.692047377	0.579236443	0.392439412	1.40E-165	6.83E-160	9.04E-173	LOC105327340	fibrocystin-L
PGEN_.00g201490		9	0.376591651	4.713037265	0.856175973	0.439853095	0.464175917	1.39E-196	6.81E-191	0	LOC105328728	"dynein beta chain, ciliary"
PGEN_.00g178360		9	0.373003838	2.481457295	0.631133672	0.591006082	0.362153584	1.34E-152	6.58E-147	2.5	LOC105328662	"3-methyl-2-oxobutanoate dehydrogenase [lipoamide] kinase, mitochondrial"
PGEN_.00g070750		9	0.36064049	4.217783294	0.829103215	0.434976591	0.398200499	4.66E-168	2.28E-162	9.03E-52	LOC105330782	"dynein heavy chain 5, axonemal"
PGEN_.00g237150		9	0.351808848	2.320821753	0.624365482	0.563466204	0.344455944	4.86E-145	2.38E-139	3.16E-31	LOC105327506	"inositol 1,4,5-trisphosphate receptor type 2"
PGEN_.00g139320		9	0.344351071	2.752660284	0.686971235	0.501259811	0.35030981	1.55E-147	7.56E-142	2.71E-19	LOC117692552	vicilin-like seed storage protein At2g18540
PGEN_.00g067010		9	0.329793066	3.139853245	0.752961083	0.437994836	0.357161743	1.83E-150	8.95E-145	2.29E-55	LOC105344573	outer dense fiber protein 3
PGEN_.00g038110		9	0.317296019	2.665962747	0.698815567	0.454048299	0.331308513	1.94E-139	9.51E-134	9.15E-32	LOC105321629	phosphatidylinositol 3-kinase regulatory subunit alpha
PGEN_.00g067500		9	0.290020714	5.26697869	0.802030457	0.361608105	0.382184373	3.53E-161	1.73E-155	0.6	LOC117681592	uncharacterized LOC117681592
PGEN_.00g025530		9	0.274958058	4.658731009	0.837563452	0.328283258	0.312894554	1.30E-131	6.38E-126	1.11E-101	LOC105329309	nesprin-1
PGEN_.00g147990		10	0.350150259	2.685797483	0.701834862	0.498906904	0.376705296	3.40E-135	1.66E-129	1.41E-54	LOC105336245	T-box transcription factor TBX3
PGEN_.00g034910		10	0.342757631	3.689286562	0.821100917	0.417436668	0.407956366	1.51E-146	7.39E-141	3.02E-78	LOC105319691	bone morphogenetic protein 3
PGEN_.00g311040		10	0.309965819	0.68580013	0.408256881	0.759242118	0.268901066	2.19E-96	1.07E-90	0.000226	LOC105348209	uncharacterized LOC105348209
PGEN_.00g140140		10	0.271308152	3.803049425	0.873853211	0.310473371	0.333075969	2.01E-119	9.83E-114	2.20E-173	LOC105332653	cytospin-A
PGEN_.00g113700		10	0.26647773	0.546587261	0.438073394	0.608294713	0.254296746	3.62E-91	1.77E-85			
PGEN_.00g065200		10	0.263523701	1.305104175	0.559633028	0.470886614	0.261234265	1.21E-93	5.90E-88	1.90E-15	LOC105322785	golgin subfamily A member 6-like protein 1
PGEN_.00g026650		10	0.252531483	2.82170413	0.850917431	0.296775543	0.3121655	6.77E-112	3.31E-106	1.76E-29	LOC105341341	kinesin-like protein KIF28P
PGEN_.00g113680		10	0.245248975	0.746038274	0.497706422	0.49275831	0.243793827	2.01E-87	9.86E-82	3.72E-32	LOC105324644	uncharacterized protein C17orf98
PGEN_.00g171960		10	0.224580071	5.965204881	0.958715596	0.234250984	0.316224674	2.35E-113	1.15E-107	0	LOC105332773	zinc finger homeobox protein 4
PGEN_.00g172530		10	0.214005014	2.563618988	0.860091743	0.248816496	0.257422449	2.77E-92	1.36E-86	2.78E-07	LOC105345817	heat shock factor-binding protein 1-like
PGEN_.00g055700		11	0.357598653	5.249367876	0.849206349	0.42109748	0.420183434	1.81E-139	8.86E-134	4.00E-85	LOC105320035	tektin-4
PGEN_.00g026930		11	0.344405689	5.443961736	0.85978836	0.400570309	0.410004452	4.71E-136	2.30E-130	2.30E-24	LOC105338883	radial spoke head protein 4 homolog A
PGEN_.00g274590		11	0.3182667	26.10488567	0.989417989	0.321670622	0.536639654	7.65E-179	3.74E-173	0	LOC105329348	tubulin alpha-1A chain
PGEN_.00g111720		11	0.304437267	4.194618658	0.804232804	0.378543707	0.335267058	4.15E-111	2.03E-105	3.57E-32	LOC117681047	cilia- and flagella-associated protein 45-like
PGEN_.00g233610		11	0.297426378	3.763770797	0.764550265	0.389021352	0.331428001	7.82E-110	3.83E-104	8.06E-173	LOC105343071	tubulin beta chain
PGEN_.00g233580		11	0.285672494	14.08485348	0.96031746	0.297477143	0.397617991	6.64E-132	3.25E-126	5.38E-104	LOC105343071	tubulin beta chain
PGEN_.00g024450		11	0.283828343	4.04368213	0.833333333	0.340594011	0.343405127	8.17E-114	4.00E-108	7.83E-33	LOC105343890	radial spoke head protein 9 homolog
PGEN_.00g036130		11	0.273480201	3.443267221	0.785714286	0.348065711	0.304771987	5.41E-101	2.64E-95	1.27E-45	LOC105335975	"dynein intermediate chain 3, ciliary"
PGEN_.00g183200		11	0.266852289	4.16090246	0.82010582	0.32538763	0.301899959	4.83E-100	2.36E-94	4.81E-32	LOC117692400	dynein regulatory complex subunit 4-like
PGEN_.00g000670		11	0.255765741	2.927382903	0.743386243	0.344054983	0.277598913	5.20E-92	2.54E-86	1.58E-48	LOC117684617	cilia- and flagella-associated protein 57-like
PGEN_.00g329630		12	0.400093391	22.76530937	1	0.400093391	0.612112289	1.22E-161	5.97E-156	1.35E-17	LOC117684841	uncharacterized LOC117684841
PGEN_.00g248460		12	0.293920813	2.945353912	0.811023622	0.362407217	0.344111236	1.48E-90	7.22E-85	1.02E-12	LOC105328504	peroxisome proliferator-activated receptor gamma coactivator 1-alpha
PGEN_.00g038810		12	0.183335544	3.019584252	0.822834646	0.222809704	0.153811497	4.05E-41	1.98E-35	0.24	LOC105341257	uncharacterized LOC105341257
PGEN_.00g234180		12	0.180710752	2.264501194	0.736220472	0.245457384	0.173707912	2.97E-46	1.45E-40	7.98E-41	LOC105334252	H/ACA ribonucleoprotein complex subunit DKC1
PGEN_.00g103340		12	0.1751711	1.010373299	0.448818898	0.390293503	0.173458878	3.44E-46	1.69E-40	3.91E-16	LOC105317582	"tryptophan 2,3-dioxygenase"
PGEN_.00g290610		12	0.171524658	2.150148868	0.649606299	0.264044019	0.123968146	1.99E-33	9.71E-28	1.72E-08	LOC117682327	uncharacterized LOC117682327
PGEN_.00g285310		12	0.167762381	1.35596989	0.492125984	0.340893159	0.168517927	6.50E-45	3.18E-39	5.60E-57	LOC105345076	angiopoietin-related protein 2
PGEN_.00g118350		12	0.154804867	1.312296055	0.535433071	0.289120855	0.141383512	6.48E-38	3.17E-32			
PGEN_.00g143440		12	0.144342571	3.43543747	0.834645669	0.172938741	0.109031323	1.39E-29	6.80E-24	8.96E-19	LOC105324897	60S acidic ribosomal protein P2
PGEN_.00g018500		12	0.142352896	0.829694167	0.433070866	0.328705778	0.137399923	6.89E-37	3.37E-31	4.58E-22	LOC105320852	xanthine dehydrogenase/oxidase
PGEN_.00g009880		13	0.556223253	5.994023593	0.903409091	0.615693663	0.635267262	3.32E-133	1.63E-127	2.34E-45	LOC105335107	ELAV-like protein 1
PGEN_.00g199730		13	0.551775371	2.462150926	0.795454545	0.693660467	0.627744885	1.30E-131	6.35E-126	4.39E-30	LOC105326367	protein dead ringer homolog
PGEN_.00g201050		13	0.499165936	1.290664782	0.636363636	0.784403614	0.470882855	1.27E-98	6.21E-93	4.23E-92	LOC105325252	uncharacterized LOC105325252
PGEN_.00g183470		13	0.461416066	2.557122383	0.846590909	0.545028373	0.500786308	6.99E-105	3.42E-99	1.85E-27	LOC105345605	protein naked cuticle homolog 2-like
PGEN_.00g070550		13	0.373161255	4.193186734	0.903409091	0.413058999	0.456338205	1.39E-95	6.80E-90	3.32E-30	LOC105328367	dentin sialophosphoprotein
PGEN_.00g081160		13	0.365490621	1.017083454	0.517045455	0.706882959	0.354612597	2.06E-74	1.01E-68	4.77E-116	LOC105348737	"POU domain, class 4, transcription factor 3"
PGEN_.00g299610		13	0.363387694	1.778156696	0.602272727	0.603360699	0.36224097	5.38E-76	2.63E-70	6.83E-20	LOC105327195	zinc finger protein 768
PGEN_.00g008530		13	0.360808507	1.300313102	0.607954545	0.593479413	0.373505876	2.47E-78	1.21E-72	1.75E-19	LOC105337123	contactin-associated protein-like 5
PGEN_.00g274200		13	0.312631706	5.33696433	0.892045455	0.350466117	0.357077327	6.34E-75	3.10E-69	6.73E-16	LOC105336169	A-kinase anchor protein 9
PGEN_.00g347630		13	0.302846364	6.953614339	0.931818182	0.325005854	0.448695046	5.49E-94	2.68E-88	2.37E-22	LOC105337943	CUGBP Elav-like family member 3-B
PGEN_.00g209510		14	0.849134917	5.291898265	0.901639344	0.941767817	0.834126119	1.05E-84	5.15E-79	1.10E-50	LOC105329046	inter-alpha-trypsin inhibitor heavy chain H3
PGEN_.00g033740		14	0.800919156	9.909305151	0.868852459	0.921812613	0.767678374	5.17E-78	2.53E-72	0.045	LOC105341555	mammalian ependymin-related protein 1
PGEN_.00g019450		14	0.782710699	4.495120252	0.803278689	0.974394952	0.723060863	1.58E-73	7.73E-68	0.000793	LOC105340689	NPC intracellular cholesterol transporter 2
PGEN_.00g329040		14	0.763053153	12.71992206	0.983606557	0.775770705	0.829524821	3.06E-84	1.50E-78	9.97E-19	LOC105345248	CD63 antigen
PGEN_.00g213740		14	0.719327639	10.73095441	0.950819672	0.756534241	0.736123255	7.70E-75	3.77E-69	4.63E-13	LOC105343056	soma ferritin-like
PGEN_.00g126730		14	0.69808215	4.321356463	0.754098361	0.925717633	0.667818703	5.52E-68	2.70E-62	0.000401	LOC117683445	uncharacterized LOC117683445
PGEN_.00g082660		14	0.639880924	6.244759346	0.737704918	0.867394142	0.588442042	4.90E-60	2.40E-54	1.34E-15	LOC105345634	sequestosome-1
PGEN_.00g007880		14	0.630377473	24.32994075	0.983606557	0.640883764	0.836299514	6.35E-85	3.11E-79	0	LOC105326705	"actin, cytoplasmic"
PGEN_.00g001350		14	0.625015868	4.718781517	0.672131148	0.929901657	0.559191434	4.12E-57	2.01E-51	4.13E-129	LOC105342035	uncharacterized LOC105342035
PGEN_.00g252110		14	0.616284987	9.760242197	0.868852459	0.709309136	0.581359882	2.50E-59	1.23E-53	8.62E-31	LOC105319637	probable DNA double-strand break repair Rad50 ATPase
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
